Código [-],Município [-],UF [-],DC [2024],RCL [2024],CAPAG [2024]
4107124,Diamante do Sul,PR,6775194.16,27492443.7,A
4107157,Diamante D'Oeste,PR,0.0,39505526.3,C
3121605,Diamantina,MG,17886018.86,331953517.36,n.e.
5103502,Diamantino,MT,16681361.23,205941862.63,C
1707009,Dianópolis,TO,8021156.0,98174466.35,n.d.
2910057,Dias d'Ávila,BA,50518157.62,381478440.59,A
4306379,Dilermando de Aguiar,RS,1071277.7,31514753.62,A
3121704,Diogo de Vasconcelos,MG,3788702.26,28348681.98,B
3121803,Dionísio,MG,126109.2,25530151.75,n.d.
4205001,Dionísio Cerqueira,SC,16677536.71,90438263.24,A
5207105,Diorama,GO,977525.12,27008621.48,n.d.
3513850,Dirce Reis,SP,0.0,23537684.92,n.d.
2203354,Dirceu Arcoverde,PI,0.0,45986825.48,C
2802007,Divina Pastora,SE,7141745.11,52328298.49,C
3121902,Divinésia,MG,822372.21,30388151.34,C
3122009,Divino,MG,7067435.66,80722842.17,n.e.
3122108,Divino das Laranjeiras,MG,840369.77,21407188.58,n.d.
3201803,Divino de São Lourenço,ES,0.0,38705405.0,C
3513900,Divinolândia,SP,1787224.66,31027610.14,n.d.
3122207,Divinolândia de Minas,MG,1260239.35,30820248.07,n.d.
3122306,Divinópolis,MG,67241761.12,1110719972.44,A
5208301,Divinópolis de Goiás,GO,0.0,0.0,n.d.
1707108,Divinópolis do Tocantins,TO,6791702.35,44801137.74,C
3122355,Divisa Alegre,MG,5673501.54,40236472.8,B+
3122405,Divisa Nova,MG,3922357.99,34638088.8,A
3122454,Divisópolis,MG,3607207.46,45013360.9,C
3514007,Dobrada,SP,0.0,40985244.24,C
3514106,Dois Córregos,SP,7950875.59,145503943.47,A
4306403,Dois Irmãos,RS,10111709.36,182948399.06,A+
4306429,Dois Irmãos das Missões,RS,145642.3,28865207.09,A
5003488,Dois Irmãos do Buriti,MS,27237025.25,87088942.55,C
1707207,Dois Irmãos do Tocantins,TO,901879.68,44288130.32,A
4306452,Dois Lajeados,RS,0.0,33803720.15,A
2702504,Dois Riachos,AL,7366145.65,81751211.02,n.d.
4107207,Dois Vizinhos,PR,26046266.46,272638064.99,A
3514205,Dolcinópolis,SP,774263.92,24934318.83,n.d.
5103601,Dom Aquino,MT,0.0,0.0,n.d.
2910107,Dom Basílio,BA,25544184.93,68266876.93,B
3122470,Dom Bosco,MG,828032.02,31178576.26,B
3122504,Dom Cavati,MG,2839333.75,30477520.85,B
1502939,Dom Eliseu,PA,134475113.23,240530820.37,C
2203404,Dom Expedito Lopes,PI,1375098.88,34296915.65,C
4306502,Dom Feliciano,RS,2249615.96,69499261.98,C
2203453,Dom Inocêncio,PI,1587038.41,52102500.88,C
3122603,Dom Joaquim,MG,0.0,39074687.77,C
2910206,Dom Macedo Costa,BA,4181742.83,30484706.3,C
4306601,Dom Pedrito,RS,22899641.07,192104896.59,A+
2103802,Dom Pedro,MA,5478904.58,93740839.77,C
4306551,Dom Pedro de Alcântara,RS,5789182.46,26804506.58,A+
3122702,Dom Silvério,MG,1318110.67,31428608.11,C
3122801,Dom Viçoso,MG,268973.69,24694088.49,C
3201902,Domingos Martins,ES,609153.41,218095644.04,A+
2203420,Domingos Mourão,PI,5854884.35,36190638.17,C
4205100,Dona Emma,SC,5178214.21,34338300.26,B
3122900,Dona Euzébia,MG,550161.4,33474033.35,B
4306700,Dona Francisca,RS,2833561.85,28050214.99,A+
2505709,Dona Inês,PB,25922320.15,58820657.07,n.d.
3123007,Dores de Campos,MG,4250229.62,43700259.39,B
3123106,Dores de Guanhães,MG,1610096.49,34594969.7,C
3123205,Dores do Indaiá,MG,23155443.71,68785848.23,A
3202009,Dores do Rio Preto,ES,1017581.91,48319578.09,B
3123304,Dores do Turvo,MG,249483.76,33319363.28,C
3123403,Doresópolis,MG,5415069.27,27247822.96,C
2605152,Dormentes,PE,34297089.13,94785116.2,B
4107256,Douradina,PR,4165472.97,57449502.66,C
5003504,Douradina,MS,0.0,41266234.99,n.e.
3514304,Dourado,SP,2312281.79,60199253.72,n.d.
3123502,Douradoquara,MG,1482514.92,26791472.6,C
5003702,Dourados,MS,163250159.98,1494838270.52,B
4107306,Doutor Camargo,PR,3324780.67,37406824.57,B
4306734,Doutor Maurício Cardoso,RS,3480325.57,41016689.24,A
4205159,Doutor Pedrinho,SC,1366464.55,31180525.01,A
4306759,Doutor Ricardo,RS,2457266.19,27499164.56,C
2403202,Doutor Severiano,RN,9578404.74,45231206.64,C
4128633,Doutor Ulysses,PR,9076418.64,35583359.31,A
5207253,Doverlândia,GO,0.0,0.0,n.d.
3514403,Dracena,SP,12702302.76,230232982.63,C
3514502,Duartina,SP,13358498.43,68916157.19,n.d.
3301603,Duas Barras,RJ,82722163.1,96536660.09,n.d.
2505808,Duas Estradas,PB,7623036.49,30354702.54,C
1707306,Dueré,TO,2690206.26,31095973.9,n.d.
3514601,Dumont,SP,14999912.47,58806427.64,n.d.
2103901,Duque Bacelar,MA,0.0,75677606.68,C
3301702,Duque de Caxias,RJ,228261165.82,5092909788.66,n.e.
3123528,Durandé,MG,32321.34,35709997.42,C
3514700,Echaporã,SP,1387799.31,48552772.07,C
3202108,Ecoporanga,ES,1172525.58,123113696.96,A+
5207352,Edealina,GO,12465589.79,46230135.26,B
5207402,Edéia,GO,0.0,90400217.59,n.d.
1301407,Eirunepé,AM,60344646.56,172008446.44,C
3514809,Eldorado,SP,13158893.06,83565795.31,B
5003751,Eldorado,MS,1291641.01,84713432.29,B
1502954,Eldorado do Carajás,PA,55152934.82,159385054.53,C
4306767,Eldorado do Sul,RS,8134360.69,316909557.96,A+
2203503,Elesbão Veloso,PI,3859608.53,63131290.28,C
3514908,Elias Fausto,SP,24486448.76,120154570.34,C
2203602,Eliseu Martins,PI,2545208.2,27641198.23,C
3514924,Elisiário,SP,2117677.12,29523080.95,n.d.
2910305,Elísio Medrado,BA,20541049.53,47828597.24,n.d.
3123601,Elói Mendes,MG,1615133.48,122803172.57,C
2505907,Emas,PB,10393245.26,27844504.36,n.d.
3514957,Embaúba,SP,92517.84,25501213.97,C
3515004,Embu das Artes,SP,363433918.74,1220316824.31,C
3515103,Embu-Guaçu,SP,21698555.76,283222814.93,C
3515129,Emilianópolis,SP,0.0,28387200.74,n.d.
4306809,Encantado,RS,15960016.62,157379528.97,B
2403301,Encanto,RN,3945003.92,38570293.96,A
2910404,Encruzilhada,BA,2835140.76,90567240.66,n.d.
4306908,Encruzilhada do Sul,RS,9233958.2,129755150.92,A
4107405,Enéas Marques,PR,0.0,47314355.77,A
4107504,Engenheiro Beltrão,PR,25081380.59,72139474.51,n.d.
3123700,Engenheiro Caldas,MG,1931814.18,58402230.31,n.d.
3515152,Engenheiro Coelho,SP,0.0,0.0,n.d.
3123809,Engenheiro Navarro,MG,2462583.91,37925090.01,n.d.
3301801,Engenheiro Paulo de Frontin,RJ,3516400.16,107029591.62,C
4306924,Engenho Velho,RS,0.0,24814898.06,A
3123858,Entre Folhas,MG,1914602.77,32132969.41,B
2910503,Entre Rios,BA,0.0,0.0,n.d.
4205175,Entre Rios,SC,3489643.2,28409069.87,A
3123908,Entre Rios de Minas,MG,400756.93,70195241.35,B
4107538,Entre Rios do Oeste,PR,1226868.72,74079247.47,A
4306957,Entre Rios do Sul,RS,0.0,32029917.5,C
4306932,Entre-Ijuís,RS,3197044.41,50984836.53,B+
1301506,Envira,AM,4229450.36,98669074.39,n.d.
1200252,Epitaciolândia,AC,12767984.63,87960439.45,C
2403400,Equador,RN,4947800.81,34922700.07,C
4306973,Erebango,RS,0.0,0.0,n.d.
4307005,Erechim,RS,11486039.93,514002832.66,A+
2304277,Ereré,CE,6660512.3,44467872.68,B
2900504,Érico Cardoso,BA,17904483.63,61835520.89,n.d.
4205191,Ermo,SC,6429118.03,36027755.87,n.d.
4307054,Ernestina,RS,2123234.3,31654898.68,A
4307203,Erval Grande,RS,3283400.15,37836363.79,C
4307302,Erval Seco,RS,4456683.0,43324358.33,C
4205209,Erval Velho,SC,1726776.52,39461078.09,A
3124005,Ervália,MG,31722277.92,88503219.65,C
2605202,Escada,PE,43942186.67,205616388.11,A
4307401,Esmeralda,RS,936262.96,37409877.94,B
3124104,Esmeraldas,MG,9796631.96,287123645.73,C
3124203,Espera Feliz,MG,6529027.66,104475335.87,B
2506004,Esperança,PB,4227925.21,172122645.14,n.d.
4307450,Esperança do Sul,RS,24649.36,31913796.51,n.d.
4107520,Esperança Nova,PR,0.0,31112413.47,A
1707405,Esperantina,TO,27282673.73,45972363.26,C
2203701,Esperantina,PI,11331251.84,168107018.81,B
2104008,Esperantinópolis,MA,115878.73,99982090.27,C
4107546,Espigão Alto do Iguaçu,PR,4722500.79,38492326.85,A
1100098,Espigão D'Oeste,RO,6168095.63,132842492.44,A+
3124302,Espinosa,MG,25700168.57,127411389.85,C
2403509,Espírito Santo,RN,11400117.41,49867953.32,B
3124401,Espírito Santo do Dourado,MG,5332551.31,35598922.91,B
3515186,Espírito Santo do Pinhal,SP,3008223.97,192720226.63,C
3515194,Espírito Santo do Turvo,SP,0.0,37646025.7,A
2910602,Esplanada,BA,198634084.37,227404907.0,B
4307500,Espumoso,RS,13140985.14,90348391.8,B
4307559,Estação,RS,3638672.88,42329460.14,B
2802106,Estância,SE,65001159.15,365451971.87,B
4307609,Estância Velha,RS,13606494.05,242793504.92,B
4307708,Esteio,RS,60369861.96,464030706.72,n.d.
3124500,Estiva,MG,722464.23,56442873.19,n.d.
3557303,Estiva Gerbi,SP,31771467.61,74768310.78,n.d.
2104057,Estreito,MA,15000000.0,180890835.03,A
4307807,Estrela,RS,52770290.09,256121437.6,A+
3124609,Estrela Dalva,MG,198763.23,23804159.02,C
2702553,Estrela de Alagoas,AL,12324616.15,91427246.84,B
3124708,Estrela do Indaiá,MG,789945.43,25155277.67,n.d.
3515301,Estrela do Norte,SP,6926371.23,5727894.94,n.d.
5207501,Estrela do Norte,GO,2956890.51,11527433.93,n.d.
3124807,Estrela do Sul,MG,4425483.86,51370324.24,C
3515202,Estrela d'Oeste,SP,8806045.47,68666329.92,B
4307815,Estrela Velha,RS,1500000.0,35913885.2,A
2910701,Euclides da Cunha,BA,302980400.1,330159860.74,B
3515350,Euclides da Cunha Paulista,SP,6175395.59,46575649.95,n.d.
4307831,Eugênio de Castro,RS,2526322.43,30058128.2,A
3124906,Eugenópolis,MG,2506688.62,48143942.17,C
2910727,Eunápolis,BA,347766006.49,487211595.87,C
2304285,Eusébio,CE,87514345.19,624430910.29,C
3125002,Ewbank da Câmara,MG,1099675.13,35227034.46,A
3125101,Extrema,MG,357617.39,621316704.5,A
2403608,Extremoz,RN,51610002.85,239612574.9,C
2605301,Exu,PE,14380069.01,150147247.69,C
2506103,Fagundes,PB,35725345.17,56569955.1,C
4307864,Fagundes Varela,RS,2187500.13,30223143.45,A+
5207535,Faina,GO,14424367.88,38953265.9,n.d.
3125200,Fama,MG,0.0,27373158.55,A
3125309,Faria Lemos,MG,577668.07,23832577.47,n.d.
2304301,Farias Brito,CE,6476888.4,98581975.57,C
1503002,Faro,PA,0.0,0.0,n.d.
4107553,Farol,PR,2857404.21,34634365.89,A
4307906,Farroupilha,RS,60621628.7,418503975.85,A
3515400,Fartura,SP,4536495.23,92885129.13,n.d.
2203750,Fartura do Piauí,PI,3739893.97,40363264.14,C
1707553,Fátima,TO,403088.63,25696471.27,n.d.
2910750,Fátima,BA,28432478.63,113930270.08,C
5003801,Fátima do Sul,MS,9432888.89,110537458.89,B
4107603,Faxinal,PR,12120022.54,92780226.34,C
4308003,Faxinal do Soturno,RS,2457169.31,44181100.78,A+
4205308,Faxinal dos Guedes,SC,26825870.5,83066296.92,A
4308052,Faxinalzinho,RS,1894218.83,26234465.24,C
5207600,Fazenda Nova,GO,11569564.94,46335448.61,n.e.
4107652,Fazenda Rio Grande,PR,80070157.55,562681858.78,A
4308078,Fazenda Vilanova,RS,4862160.75,38138219.63,A
1200302,Feijó,AC,25360972.05,99751431.22,n.d.
2910776,Feira da Mata,BA,21330961.23,38325551.77,C
2910800,Feira de Santana,BA,371416666.11,1951736024.62,B
2702603,Feira Grande,AL,0.0,0.0,n.e.
2605400,Feira Nova,PE,30068041.2,95150310.84,n.d.
2802205,Feira Nova,SE,8603820.47,39201858.23,C
2104073,Feira Nova do Maranhão,MA,0.0,45345711.42,n.d.
3125408,Felício dos Santos,MG,3500399.6,34837565.88,C
2403707,Felipe Guerra,RN,7187211.24,72505043.95,A
3125606,Felisburgo,MG,793669.47,39538486.99,C
3125705,Felixlândia,MG,6404552.43,80711823.38,A
4308102,Feliz,RS,23240588.48,98667914.4,A+
2702702,Feliz Deserto,AL,9763589.02,50278804.35,C
5103700,Feliz Natal,MT,15951629.85,95274148.33,A
4107702,Fênix,PR,0.0,0.0,n.d.
4107736,Fernandes Pinheiro,PR,8149972.06,47117707.11,A
3125804,Fernandes Tourinho,MG,0.0,25858734.47,A
2104081,Fernando Falcão,MA,0.0,61604748.0,C
2403756,Fernando Pedroza,RN,2791414.73,24877565.95,C
3515608,Fernando Prestes,SP,2625091.03,43989434.95,n.d.
3515509,Fernandópolis,SP,77355730.56,333086365.17,C
3515657,Fernão,SP,0.0,24286605.65,n.d.
3515707,Ferraz de Vasconcelos,SP,309844591.14,652462542.97,A
1600238,Ferreira Gomes,AP,16700649.93,77192447.47,n.d.
2605509,Ferreiros,PE,0.0,58000432.08,A
3125903,Ferros,MG,3179975.51,43427503.72,n.d.
3125952,Fervedouro,MG,4156695.11,55748290.18,A
4107751,Figueira,PR,4271686.11,38492095.76,A
5003900,Figueirão,MS,0.0,63119994.01,A
1707652,Figueirópolis,TO,2975960.13,36330654.86,n.d.
5103809,Figueirópolis D'Oeste,MT,3539735.49,34210039.17,n.d.
1707702,Filadélfia,TO,500822.22,27195306.08,n.d.
2910859,Filadélfia,BA,30387553.97,106072485.19,C
2910909,Firmino Alves,BA,17710516.95,41333509.46,C
5207808,Firminópolis,GO,12253763.65,53773946.78,n.d.
2702801,Flexeiras,AL,0.0,0.0,n.e.
4107850,Flor da Serra do Sul,PR,1889928.69,42541855.79,n.d.
4205357,Flor do Sertão,SC,1682706.9,27186466.02,B
3515806,Flora Rica,SP,144495.95,25153730.37,n.d.
4107801,Floraí,PR,173416.19,39774151.05,n.d.
2403806,Florânia,RN,15643321.02,49010549.57,C
3515905,Floreal,SP,0.0,28534784.25,n.d.
2605608,Flores,PE,10032737.34,100015258.29,B
4308201,Flores da Cunha,RS,3880624.48,197201107.26,A
5207907,Flores de Goiás,GO,21467511.85,64894035.71,C
2203800,Flores do Piauí,PI,328750.32,31496229.45,C
2605707,Floresta,PE,12514736.31,146775672.93,n.d.
4107900,Floresta,PR,877403.6,60178087.62,n.d.
2911006,Floresta Azul,BA,50831988.49,46239057.59,n.d.
1503044,Floresta do Araguaia,PA,602826.19,109948889.24,C
2203859,Floresta do Piauí,PI,791462.4,29672849.23,n.d.
3126000,Florestal,MG,0.0,44157760.72,A
4108007,Florestópolis,PR,31326886.4,59630540.98,B
2203909,Floriano,PI,17528318.89,279299235.74,A
4308250,Floriano Peixoto,RS,520020.84,25318397.62,A
4205407,Florianópolis,SC,1232103138.44,3243814125.02,C
4108106,Flórida,PR,0.0,0.0,n.d.
3516002,Flórida Paulista,SP,9598587.69,60393001.23,C
3516101,Florínea,SP,2929995.21,40299586.19,n.d.
1301605,Fonte Boa,AM,48182186.15,151505171.71,C
4308300,Fontoura Xavier,RS,9253462.38,61073863.15,B
3126109,Formiga,MG,31557263.43,353547925.86,C
4308409,Formigueiro,RS,2348630.52,37771485.93,A
5208004,Formosa,GO,237354128.08,453678934.75,n.e.
2104099,Formosa da Serra Negra,MA,6749.04,98183384.46,C
4108205,Formosa do Oeste,PR,5012830.24,52727629.91,A
2911105,Formosa do Rio Preto,BA,18342668.79,287916132.65,C
4205431,Formosa do Sul,SC,0.0,29209054.93,A
3126208,Formoso,MG,5180724.46,51722629.92,C
5208103,Formoso,GO,10823009.46,33263026.38,n.d.
1708205,Formoso do Araguaia,TO,16341230.84,100848992.83,n.d.
4308433,Forquetinha,RS,0.0,30285518.45,A
2304350,Forquilha,CE,22010293.79,128515416.77,C
4205456,Forquilhinha,SC,14074437.36,177561477.74,A
2304400,Fortaleza,CE,4658074778.19,11438382522.36,C
3126307,Fortaleza de Minas,MG,238969.15,27400694.17,B
2104107,Fortaleza dos Nogueiras,MA,1401953.28,66646074.75,n.d.
4308458,Fortaleza dos Valos,RS,4656087.59,45582271.61,A
2304459,Fortim,CE,26782999.81,97222424.7,C
2104206,Fortuna,MA,0.0,102924760.54,C
3126406,Fortuna de Minas,MG,1992876.48,39308176.06,A
4108304,Foz do Iguaçu,PR,288001766.03,1773951548.64,B
4108452,Foz do Jordão,PR,2786767.39,38709840.34,A
4205506,Fraiburgo,SC,40903173.62,202860110.17,A
3516200,Franca,SP,0.0,1347125559.38,C
2204006,Francinópolis,PI,3552829.76,32991222.54,A
4108320,Francisco Alves,PR,707422.4,48567950.96,B
2204105,Francisco Ayres,PI,3298505.49,28035795.09,C
3126505,Francisco Badaró,MG,435724.57,40953294.59,C
4108403,Francisco Beltrão,PR,81015484.73,513138904.78,B
2403905,Francisco Dantas,RN,3975230.2,21924179.62,C
3126604,Francisco Dumont,MG,1129855.03,34890197.26,C
2204154,Francisco Macedo,PI,604342.86,28267964.69,C
3516309,Francisco Morato,SP,37255719.98,564777322.95,B
3126703,Francisco Sá,MG,20959068.5,115952642.36,C
2204204,Francisco Santos,PI,5164781.2,35370074.4,A
3126752,Franciscópolis,MG,423366.32,28066618.42,n.e.
3516408,Franco da Rocha,SP,160215974.04,644280694.26,C
2304509,Frecheirinha,CE,19142359.54,90653887.77,C
4308508,Frederico Westphalen,RS,13551635.62,152364266.11,B
3126802,Frei Gaspar,MG,4766245.84,41130717.15,n.d.
3126901,Frei Inocêncio,MG,5987675.79,45843357.2,n.d.
3126950,Frei Lagonegro,MG,0.0,27323677.78,C
2506202,Frei Martinho,PB,3260604.57,25356222.12,n.e.
2605806,Frei Miguelinho,PE,34147750.83,65597313.3,C
2802304,Frei Paulo,SE,20970780.45,81455949.19,C
4205555,Frei Rogério,SC,0.0,29840460.8,A
3127008,Fronteira,MG,9960896.12,95195132.72,n.e.
3127057,Fronteira dos Vales,MG,13923.75,26936694.91,C
2204303,Fronteiras,PI,6904540.43,42661069.69,C
3127073,Fruta de Leite,MG,1213341.74,32437247.55,C
3127107,Frutal,MG,27146883.05,327491409.05,C
2404002,Frutuoso Gomes,RN,0.0,0.0,n.e.
3202207,Fundão,ES,9291799.62,115913849.8,B
3127206,Funilândia,MG,13940660.55,32845062.24,n.d.
3516507,Gabriel Monteiro,SP,971817.09,27915905.87,n.d.
2506251,Gado Bravo,PB,4730025.66,51571875.42,C
3516606,Gália,SP,98.16,27239391.1,n.d.
3127305,Galiléia,MG,1549524.37,35860910.32,n.d.
2404101,Galinhos,RN,91300.43,39057059.39,n.d.
4205605,Galvão,SC,2360950.44,34245883.92,A
2605905,Gameleira,PE,77539251.62,110953397.52,C
5208152,Gameleira de Goiás,GO,6202046.37,38732114.65,n.d.
3127339,Gameleiras,MG,2573857.87,35495747.2,C
2911204,Gandu,BA,87773223.91,198593051.86,B
2606002,Garanhuns,PE,83321635.39,519868373.59,B
2802403,Gararu,SE,27092026.0,64368080.16,C
3516705,Garça,SP,40881724.06,239116465.77,A
4308607,Garibaldi,RS,25939227.05,236898071.05,A
4205704,Garopaba,SC,15215991.7,184211017.07,C
1503077,Garrafão do Norte,PA,1551.0,125205264.98,C
4308656,Garruchos,RS,0.0,30491494.87,A+
4205803,Garuva,SC,24938035.65,147928435.02,B+
4205902,Gaspar,SC,124732529.34,425099116.5,C
3516804,Gastão Vidigal,SP,57210.24,27289324.76,C
5103858,Gaúcha do Norte,MT,4750822.13,93343194.39,A
4308706,Gaurama,RS,0.0,39916994.88,A
2911253,Gavião,BA,6828344.68,40213189.71,n.d.
3516853,Gavião Peixoto,SP,0.0,79951673.86,C
2204352,Geminiano,PI,6345.75,30185660.07,C
4308805,General Câmara,RS,8191697.28,40835309.43,C
4108502,General Carneiro,PR,11655550.66,68551226.27,A
5103908,General Carneiro,MT,2521594.7,52207156.7,C
2802502,General Maynard,SE,13869999.85,39141146.22,C
3516903,General Salgado,SP,5293207.16,39987207.13,n.d.
2304608,General Sampaio,CE,8090813.93,57655736.4,C
4308854,Gentil,RS,2914887.26,26508572.42,B
2911303,Gentio do Ouro,BA,20654282.19,99560420.4,B
3517000,Getulina,SP,6842985.79,55583408.6,n.d.
4308904,Getúlio Vargas,RS,9155384.33,86058553.34,A+
2204402,Gilbués,PI,994113.1,75168584.08,C
2702900,Girau do Ponciano,AL,0.0,0.0,n.e.
4309001,Giruá,RS,6297751.57,108814775.63,A
3127354,Glaucilândia,MG,2090623.04,26240957.49,n.d.
3517109,Glicério,SP,3640673.42,38133794.69,B
2911402,Glória,BA,15985863.52,88417651.77,n.d.
5004007,Glória de Dourados,MS,14371661.87,69827532.25,B
2606101,Glória do Goitá,PE,2319953.62,138402890.46,n.d.
5103957,Glória D'Oeste,MT,3500000.0,38213016.36,A
4309050,Glorinha,RS,3750818.96,52157417.9,C
2104305,Godofredo Viana,MA,0.0,104691347.69,C
4108551,Godoy Moreira,PR,944491.68,28102509.83,A
3127370,Goiabeira,MG,380847.59,27391838.13,B
2606200,Goiana,PE,59353233.58,725743475.94,A
3127388,Goianá,MG,736314.17,30531590.86,C
5208400,Goianápolis,GO,9629094.89,72623364.08,C
5208509,Goiandira,GO,1095071.68,34503012.92,C
5208608,Goianésia,GO,51752807.4,326684290.82,B
1503093,Goianésia do Pará,PA,34173699.0,162834770.45,C
5208707,Goiânia,GO,1654293608.08,8074342039.46,C
2404200,Goianinha,RN,56446433.75,30180169.49,C
5208806,Goianira,GO,17708234.99,249579860.79,B
1708304,Goianorte,TO,3502928.7,45339987.54,n.d.
5208905,Goiás,GO,34937072.09,134348403.38,n.d.
1709005,Goiatins,TO,41605166.29,67453595.91,n.d.
5209101,Goiatuba,GO,117402066.58,326868365.07,A
4108601,Goioerê,PR,33237333.63,155654081.27,A
4108650,Goioxim,PR,1794064.94,44825732.01,A
3127404,Gonçalves,MG,0.0,36938582.53,A
2104404,Gonçalves Dias,MA,4274637.0,82975942.76,C
2911501,Gongogi,BA,5910181.62,50976490.28,n.d.
3127503,Gonzaga,MG,1396825.48,33149185.86,C
3127602,Gouveia,MG,8053282.59,59110517.73,C
5209150,Gouvelândia,GO,4110089.63,45470977.83,B
2104503,Governador Archer,MA,0.0,59471008.19,C
4206009,Governador Celso Ramos,SC,19670929.01,168632435.7,n.d.
2404309,Governador Dix-Sept Rosado,RN,10212694.52,81790641.28,B
2104552,Governador Edison Lobão,MA,0.0,94661245.0,C
2104602,Governador Eugênio Barros,MA,14576254.2,73434668.07,B
1101005,Governador Jorge Teixeira,RO,3113293.86,53980611.32,A
3202256,Governador Lindenberg,ES,284504.05,73652156.63,C
2104628,Governador Luiz Rocha,MA,5733027.6,46214289.11,C
2911600,Governador Mangabeira,BA,77778979.71,111390208.46,C
2104651,Governador Newton Bello,MA,0.0,67399929.26,C
2104677,Governador Nunes Freire,MA,935233.79,156700444.49,n.d.
3127701,Governador Valadares,MG,445784364.16,1935494505.78,C
2304657,Graça,CE,891809.91,94299198.26,B
2104701,Graça Aranha,MA,0.0,36659823.8,C
2802601,Graccho Cardoso,SE,22835770.23,39178743.09,C
2104800,Grajaú,MA,0.0,390638072.09,n.e.
4309100,Gramado,RS,13872646.18,466812672.46,B
4309126,Gramado dos Loureiros,RS,5964447.99,25574002.74,B
4309159,Gramado Xavier,RS,3747143.33,28648033.11,B
4108700,Grandes Rios,PR,4713070.01,37746386.12,A
2606309,Granito,PE,679008.09,45524108.41,C
2304707,Granja,CE,67117247.93,282965621.73,C
2304806,Granjeiro,CE,24902824.08,41247551.27,B
3127800,Grão Mogol,MG,7490425.65,90002678.72,C
4206108,Grão-Pará,SC,6388125.17,45546274.74,n.d.
2606408,Gravatá,PE,41169115.98,295014119.98,B
4309209,Gravataí,RS,744000537.06,1124717221.71,C
4206207,Gravatal,SC,14202490.59,56523578.97,C
2304905,Groaíras,CE,10241035.46,65276198.5,B
2404408,Grossos,RN,6694520.01,78637542.03,C
3127909,Grupiara,MG,1248376.48,29704174.1,C
4309258,Guabiju,RS,0.0,24404363.01,A
4206306,Guabiruba,SC,30158020.81,139040301.56,A+
3202306,Guaçuí,ES,15800737.68,149610181.23,C
2204501,Guadalupe,PI,15261143.8,69894394.48,C
4309308,Guaíba,RS,55482339.75,535449199.73,A
3517208,Guaiçara,SP,19529072.42,59970110.14,C
3517307,Guaimbê,SP,161791.21,38437663.55,n.d.
3517406,Guaíra,SP,5880214.88,280617747.96,B
4108809,Guaíra,PR,17003271.2,238872703.34,A
4108908,Guairaçá,PR,0.0,0.0,n.d.
2304954,Guaiúba,CE,19933342.96,121463424.56,C
1301654,Guajará,AM,8209938.98,77970207.31,C
1100106,Guajará-Mirim,RO,68220683.39,181884399.27,A
2911659,Guajeru,BA,12408477.46,48499054.63,A
2404507,Guamaré,RN,70151622.73,253624446.48,C
4108957,Guamiranga,PR,6364231.72,43139401.82,C
2911709,Guanambi,BA,191959704.8,392084749.43,C
3128006,Guanhães,MG,8005645.76,186616029.09,C
3128105,Guapé,MG,14185450.8,86907727.48,B
3517505,Guapiaçu,SP,390249.76,120944260.86,C
3517604,Guapiara,SP,19778180.62,44741271.88,C
3301850,Guapimirim,RJ,29072421.31,452730117.54,A
4109005,Guapirama,PR,158503.99,36831819.94,C
5209200,Guapó,GO,13209067.0,87283503.91,n.d.
4309407,Guaporé,RS,13884372.46,160417988.83,A
4109104,Guaporema,PR,0.0,28191290.09,A
3517703,Guará,SP,30095815.06,128975545.18,n.d.
2506301,Guarabira,PB,90493845.68,212477255.94,A
3517802,Guaraçaí,SP,82160.46,51004874.8,n.d.
3517901,Guaraci,SP,1053025.48,88442968.35,C
4109203,Guaraci,PR,799966.31,40312678.15,A
3128204,Guaraciaba,MG,1810887.15,41697265.58,A
4206405,Guaraciaba,SC,4764436.1,68969936.82,A
2305001,Guaraciaba do Norte,CE,28986006.68,199556215.63,C
3128253,Guaraciama,MG,870886.76,31165832.94,B
1709302,Guaraí,TO,24590456.28,124427561.06,n.d.
5209291,Guaraíta,GO,0.0,22478655.04,C
2305100,Guaramiranga,CE,14600183.65,48086033.89,C
4206504,Guaramirim,SC,77827992.34,285369541.9,A+
3128303,Guaranésia,MG,9842273.8,87887568.54,n.d.
3128402,Guarani,MG,1463077.92,42554301.71,C
4309506,Guarani das Missões,RS,6477867.92,40982658.86,B
5209408,Guarani de Goiás,GO,1477440.23,41429676.65,n.d.
3518008,Guarani d'Oeste,SP,3663247.91,25113510.64,n.d.
4109302,Guaraniaçu,PR,5100745.38,83306038.26,A
3518107,Guarantã,SP,0.0,42628846.85,n.d.
5104104,Guarantã do Norte,MT,18613413.12,203895968.23,n.e.
3202405,Guarapari,ES,79458873.63,576859291.36,C
4109401,Guarapuava,PR,102281972.92,822005904.75,B
4109500,Guaraqueçaba,PR,0.0,46130906.14,B
3128501,Guarará,MG,1234546.1,29015941.29,n.d.
3518206,Guararapes,SP,988283.23,174740193.71,n.d.
3518305,Guararema,SP,19329040.28,372875240.37,A
2911808,Guaratinga,BA,871779.72,30161340.0,n.d.
3518404,Guaratinguetá,SP,164142023.5,568453932.36,C
4109609,Guaratuba,PR,0.0,0.0,n.e.
3128600,Guarda-Mor,MG,9701952.75,72483307.13,A
3518503,Guareí,SP,2767028.53,78606794.67,C
3518602,Guariba,SP,14320.0,193194377.48,C
2204550,Guaribas,PI,526292.61,33951631.02,C
