Código [-],Município [-],UF [-],DC [2024],RCL [2024],CAPAG [2024]
3200300,Alfredo Chaves,ES,403813.23,100381388.7,A
3500808,Alfredo Marcondes,SP,596612.38,34492019.5,C
3101631,Alfredo Vasconcelos,MG,0.0,41309472.63,A
4200705,Alfredo Wagner,SC,7479944.62,54493554.44,n.d.
2500577,Algodão de Jandaíra,PB,11110236.82,27062666.87,C
2500601,Alhandra,PB,45864170.99,192609645.27,C
2600708,Aliança,PE,47567016.16,140746284.09,C
1700350,Aliança do Tocantins,TO,79700.42,43238287.03,C
2900900,Almadina,BA,10028503.17,34443510.07,C
1700400,Almas,TO,11682266.36,53928317.57,B
1500503,Almeirim,PA,47604941.14,229839288.44,C
3101706,Almenara,MG,64461691.85,162163930.96,n.d.
2400604,Almino Afonso,RN,1612575.82,41210308.08,B
4100400,Almirante Tamandaré,PR,117589917.17,352000082.01,n.d.
4300471,Almirante Tamandaré do Sul,RS,1106404.32,29565145.12,A
5200506,Aloândia,GO,678068.28,22865948.38,n.d.
3101805,Alpercata,MG,8654839.31,38177793.61,C
4300505,Alpestre,RS,0.0,63601574.0,A
3101904,Alpinópolis,MG,2840988.95,85144792.67,B
5100250,Alta Floresta,MT,29473315.8,287429692.52,B
1100015,Alta Floresta D'Oeste,RO,7035660.63,133531950.84,n.e.
3500907,Altair,SP,2012408.41,36795503.48,C
1500602,Altamira,PA,22313160.52,622971656.77,C
2100402,Altamira do Maranhão,MA,0.0,52347934.92,C
4100459,Altamira do Paraná,PR,6408435.28,32853879.14,B
2300606,Altaneira,CE,11143451.9,56081757.95,C
3102001,Alterosa,MG,2126410.14,55377053.72,B
2600807,Altinho,PE,12787945.04,82977044.8,C
3501004,Altinópolis,SP,997363.7,111661657.42,A
1400050,Alto Alegre,RR,25655344.06,79262578.22,n.d.
3501103,Alto Alegre,SP,823426.47,36638793.49,A
4300554,Alto Alegre,RS,8663564.36,23739551.48,A
2100436,Alto Alegre do Maranhão,MA,3985814.2,117544838.95,B
2100477,Alto Alegre do Pindaré,MA,0.0,180522637.96,B
1100379,Alto Alegre dos Parecis,RO,11853743.78,77925786.81,C
5100300,Alto Araguaia,MT,12165145.98,140099064.51,C
4200754,Alto Bela Vista,SC,4640445.69,33156179.31,A
5100359,Alto Boa Vista,MT,10049570.35,53310578.93,C
3102050,Alto Caparaó,MG,1780286.54,34162475.6,n.d.
2400703,Alto do Rodrigues,RN,18940935.88,116482344.86,C
4300570,Alto Feliz,RS,5364905.09,33542686.4,A+
5100409,Alto Garças,MT,994032.87,91786367.32,C
5200555,Alto Horizonte,GO,9491897.94,143813682.18,C
3153509,Alto Jequitibá,MG,503887.57,35826951.34,B
2200301,Alto Longá,PI,12295991.87,56008839.99,n.d.
5100508,Alto Paraguai,MT,3293206.81,47984980.29,B
1100403,Alto Paraíso,RO,0.0,94517492.82,B
4128625,Alto Paraíso,PR,0.0,0.0,n.d.
5200605,Alto Paraíso de Goiás,GO,3444666.61,64189210.96,B
4100608,Alto Paraná,PR,9110510.32,74917077.24,n.d.
2100501,Alto Parnaíba,MA,0.0,53962995.91,n.d.
4100707,Alto Piquiri,PR,2826471.81,58326011.79,C
3102100,Alto Rio Doce,MG,5176609.18,47358118.7,n.d.
3200359,Alto Rio Novo,ES,12298888.28,49020425.87,B
2300705,Alto Santo,CE,27211375.89,95128794.29,B
5100607,Alto Taquari,MT,12673102.25,99179587.57,C
4100509,Altônia,PR,3540580.46,95593716.94,n.d.
2200400,Altos,PI,8737617.13,204324737.55,C
3501152,Alumínio,SP,31819108.88,54380934.25,B
1300029,Alvarães,AM,13331021.25,134112334.07,C
3102209,Alvarenga,MG,367411.49,29833710.36,B
3501202,Álvares Florence,SP,2913398.3,35692915.87,C
3501301,Álvares Machado,SP,265662.71,118026769.85,A
3501400,Álvaro de Carvalho,SP,12848236.14,28593467.94,n.d.
3501509,Alvinlândia,SP,353337.03,26387107.18,A
3102308,Alvinópolis,MG,3014227.71,65446909.86,n.d.
1700707,Alvorada,TO,19794063.96,66202565.2,C
4300604,Alvorada,RS,71208309.11,629358527.37,A
3102407,Alvorada de Minas,MG,0.0,103996217.21,B+
2200459,Alvorada do Gurguéia,PI,5543969.96,35068264.29,C
5200803,Alvorada do Norte,GO,0.0,0.0,n.e.
4100806,Alvorada do Sul,PR,27260962.02,76751456.8,n.d.
1100346,Alvorada D'Oeste,RO,4619781.29,68491031.44,B
1400027,Amajari,RR,8853870.7,64557441.15,n.d.
5000609,Amambai,MS,51499659.37,243481901.14,n.d.
1600105,Amapá,AP,0.0,0.0,n.e.
2100550,Amapá do Maranhão,MA,4891395.7,67451458.37,A
4100905,Amaporã,PR,1319483.79,38955269.52,A
2600906,Amaraji,PE,18396732.33,81216881.3,C
4300638,Amaral Ferrador,RS,1874817.22,32725868.17,B+
5200829,Amaralina,GO,0.0,31157225.07,C
2200509,Amarante,PI,3931542.66,94984136.83,B
2100600,Amarante do Maranhão,MA,2818322.52,178525894.89,C
2901007,Amargosa,BA,116304392.65,169069307.6,B+
1300060,Amaturá,AM,7767067.13,71187275.22,C
2901106,Amélia Rodrigues,BA,96431055.69,117420658.11,B
2901155,América Dourada,BA,13005758.83,89451214.34,n.e.
3501608,Americana,SP,1245918598.69,1288049043.36,C
5200852,Americano do Brasil,GO,0.0,0.0,n.d.
3501707,Américo Brasiliense,SP,24810346.06,168500918.57,C
3501806,Américo de Campos,SP,3328880.95,41873394.32,n.d.
4300646,Ametista do Sul,RS,4098581.28,47825179.39,C
2300754,Amontada,CE,29191478.71,227764617.49,C
5200902,Amorinópolis,GO,8354425.95,27321359.94,n.d.
2500734,Amparo,PB,2923620.16,24392050.77,C
3501905,Amparo,SP,42416518.78,483204157.78,C
2800100,Amparo do São Francisco,SE,3587684.88,31221263.31,C
3102506,Amparo do Serra,MG,372391.25,29146870.68,A
4101002,Ampére,PR,5593838.49,106068230.76,C
2700201,Anadia,AL,21254776.99,90651286.64,n.d.
2901205,Anagé,BA,60819686.96,98101048.3,C
4101051,Anahy,PR,10637199.3,30510708.61,B
1500701,Anajás,PA,10303309.5,175424472.75,C
2100709,Anajatuba,MA,2942.6,130236234.08,A
3502002,Analândia,SP,1170704.63,50926171.79,C
1300086,Anamã,AM,1255264.32,71960619.5,C
1701002,Ananás,TO,7266749.97,51385587.05,C
1500800,Ananindeua,PA,528336232.24,1331543429.93,n.d.
5201108,Anápolis,GO,756138974.13,1722421844.21,C
1500859,Anapu,PA,3639851.98,170741741.08,C
2100808,Anapurus,MA,0.0,86839482.28,B
5000708,Anastácio,MS,9924938.85,129152993.45,B
5000807,Anaurilândia,MS,15392452.33,75030206.44,C
3200409,Anchieta,ES,7049489.26,409113770.23,C
4200804,Anchieta,SC,1088492.79,41699367.98,n.d.
2901304,Andaraí,BA,55075406.13,77750861.69,B
4101101,Andirá,PR,7817141.74,111780688.44,B
2901353,Andorinha,BA,6796993.04,108456921.02,B
3102605,Andradas,MG,4478564.21,182919764.0,C
3502101,Andradina,SP,169361767.26,302892855.92,B
4300661,André da Rocha,RS,0.0,24812471.2,A
3102803,Andrelândia,MG,478099.54,71187596.99,A
3502200,Angatuba,SP,10553557.85,145404263.26,C
3102852,Angelândia,MG,1544117.91,41559639.03,C
5000856,Angélica,MS,17739990.82,79976749.9,n.d.
2601003,Angelim,PE,2781830.16,60464810.74,B
4200903,Angelina,SC,0.0,41770752.21,n.d.
2901403,Angical,BA,55604496.37,72489380.85,C
2200608,Angical do Piauí,PI,1324587.02,37825410.0,B
